Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,13198.57,32391.480000000003,113921.9,20626.74,9280.240000000002,274757.99000000005,0.0,49504.9,7403.23,4167.660000000001,11570.89,11719.740000000002,61224.64,76934.4,162049.81,0.0,1744.32,1744.32,436804.01,804.43,436873.81,0.0,258.1,14955.91,0.0,14955.91,235166.43,8.0,-57532.64,0.0,52697.259,56307.659,276471.46,0.0,38744.83,13198.57,38744.83,0.0,2681.44,1877.01,4167.660000000001,315502.75,1877.01,-1486.22,0.0,52697.26,128877.81,128877.81,173878.8,FUSTERIA FARNERS SL_resum
2000-01-01,8534.56,32391.480000000003,135569.08,20626.74,9555.09,274757.99000000005,0.0,58589.65,6813.03,4006.41,10819.439,11479.33,70068.98,79676.47,168856.6,0.0,816.71,816.71,391348.15,1175.16,391348.15,425.28,302.24,8142.88,0.0,8142.88,182345.08,11.0,-57532.64,0.0,65500.099,59049.72899999999,276471.46,0.0,55500.93,8534.56,55500.93,0.0,3491.94,2316.779,4006.41,315502.75,2742.06,-514.47,425.28,65500.1,143711.96,143711.96,180403.56,FUSTERIA FARNERS SL_resum
2001-01-01,3533.3900000000003,32391.480000000003,152060.02,20626.32,23948.45,274757.99000000005,0.0,73238.82,4639.02,27078.04,31717.06,4267.1900000000005,77506.01,98985.88,165530.13,0.0,494.3490000000001,494.34,439049.11,8275.467999999999,439049.11,0.0,1001.21,5193.88,419.82,4774.06,198133.24,10.0,-57532.64,0.0,74554.009,78359.56,276471.46,0.0,54734.63,3533.3900000000003,54734.63,0.0,27584.9,19309.432,27078.04,315502.75,19309.43,506.86,0.0,74554.01,157253.9,157253.9,198248.387,FUSTERIA FARNERS SL_resum
2002-01-01,5392.095,32391.480000000003,156083.75,20626.31,22638.82,274757.99000000005,0.0,57068.22,3868.02,23592.4,27460.42,5530.88,62599.1,99756.68,174788.26,1185.0,177.12,177.12,442204.22,8044.63,442204.22,3255.38,1329.77,11751.13,273.05,10329.33,205293.47,11.0,-57532.64,1148.75,93484.65,79130.37000000001,276471.46,0.0,68078.2,5392.095,68078.2,0.0,24745.05,16700.418999999998,23592.4,315502.75,18770.8,1152.65,2070.38,93484.65,167834.87999999998,167834.87999999998,205648.83,FUSTERIA FARNERS SL_resum
2003-01-01,7250.8,32391.480000000003,130022.71,20626.31,16013.39,274757.99000000005,0.0,61665.74,5546.17,12209.740000000002,17755.91,5700.0,67365.739,110223.9,181569.99,0.0,1128.95,1128.95,444856.75,2535.3900000000003,445044.9900000001,961.62,960.2,30753.42,126.28,29478.39,206789.85,13.0,-57532.64,1148.75,62656.97,89597.59,276471.46,0.0,43301.43,7250.8,43301.43,0.0,12040.99,9505.6,12209.740000000002,315502.75,10467.22,-168.75,961.62,62656.97,160776.13,160776.13,201247.72,FUSTERIA FARNERS SL_resum
2004-01-01,2900.32,32391.480000000003,187968.21,20626.31,40295.350000000006,274757.99000000005,0.0,5200.0,8984.69,43511.73,52496.42,5200.0,5200.0,141534.56,185778.29,0.0,87.64999999999999,87.64999999999999,536394.23,12849.91,536394.23,0.0,736.49,37876.87,0.0,36728.12,260176.63,10.0,-57532.64,1148.75,182768.21,120908.25,276471.46,0.0,81410.2,2900.32,81410.2,0.0,44160.57,31310.66,43511.73,315502.75,31310.66,648.8399999999999,0.0,182768.21,225845.08,225845.08,239011.2,FUSTERIA FARNERS SL_resum
2005-01-01,4284.346666666666,32391.480000000003,185556.28,20626.31,15494.06,274757.99000000005,0.0,88139.97,11413.38,4630.4,16043.779,4700.0,92839.97,133615.239,195606.96,0.0,85.28,85.28,504441.38,1748.86,504441.38,512.47,771.9499999999999,26988.49,0.0,25839.74,251453.16,10.0,-57532.64,1148.75,92716.31,112988.929,276471.46,0.0,78929.53,4284.346666666666,78929.53,0.0,5317.07,3568.21,4630.4,315502.75,4080.68,686.6700000000001,512.47,92716.31,212544.77,212544.77,212935.16,FUSTERIA FARNERS SL_resum
2006-01-01,5668.373333333333,32391.480000000003,201818.59,20626.31,15617.11,274757.99000000005,0.0,89033.20999999999,11236.84,5477.0,16713.84,16490.0,105523.21,137995.51,195757.38,0.0,194.4,194.4,555857.2799999999,1877.26,556156.08,0.0,974.93,19982.3,0.0,18833.55,292873.1,9.0,-57532.64,1148.75,96295.37900000002,117369.2,276471.46,0.0,83805.38,5668.373333333333,83805.38,0.0,6257.53,4380.269,5477.0,315502.75,4380.27,780.53,0.0,96295.38,221800.89,221800.89,213446.15,FUSTERIA FARNERS SL_resum
2007-01-01,7052.4,32391.480000000003,243182.18,20626.31,26885.579,274757.99000000005,0.0,100845.5,8134.55,23925.85,32060.399,11390.0,112235.5,156746.54,201729.36,0.0,315.14000000000004,315.14000000000004,610522.92,6250.34,610771.52,0.0,1390.66,11847.75,0.0,10699.0,328654.12,7.0,-57532.64,1148.75,130946.68,136120.23,276471.46,0.0,98283.39,7052.4,98283.39,0.0,25001.37,18751.03,23925.85,315502.75,18751.03,1075.52,0.0,130946.68,255029.93,255029.93,235180.419,FUSTERIA FARNERS SL_resum
2008-01-01,8436.426666666666,32391.480000000003,235909.18,20626.31,34827.32,274757.99000000005,0.0,88483.35,4305.5,39031.28999999999,43336.78999999999,12117.1,68208.97,184268.36,214633.32,0.0,133.58,133.58,588168.97,10173.94,590260.74,0.0,1798.05,9158.5,318.65000000000003,7691.1,274757.99000000005,10.0,-57532.64,1148.75,135308.73,163642.05,276471.46,0.0,28407.84,8436.426666666666,60799.32,0.0,40695.76,30521.82,39031.28999999999,315502.75,30521.82,1664.47,0.0,135308.73,245067.68,245067.68,259768.16,FUSTERIA FARNERS SL_resum
2009-01-01,9820.453333333333,42255.39,194761.48,10313.15,22484.499,281157.59,0.0,49043.03,4610.1900000000005,22886.56,27496.75,22300.0,29087.64,106478.67,200590.05,0.0,224.45,224.45,572866.12,5958.1,572866.12,0.0,1170.3,5547.31,608.22,3790.34,281157.59,8.0,-63621.73,1148.75,123418.45,96165.52,268821.97000000003,0.0,51574.72899999999,9820.453333333333,93830.12,0.0,23832.41,17874.308999999997,22886.56,291708.52900000004,17874.308999999997,945.849,0.0,123418.45,200308.79,200308.79,229257.1,FUSTERIA FARNERS SL_resum
2010-01-01,11204.48,25578.9,176535.1,10313.15,28017.29,215839.49,0.0,31445.85,3503.98,32617.63,36121.61,14000.0,19866.949,130991.98,172795.93,0.0,203.76,203.76,483505.07,8171.07,484387.8,0.0,270.51,3802.7,408.22,2245.73,215839.49,6.0,-59630.77,1148.75,131089.25,120678.83,235930.68,0.0,23766.92,11204.48,49345.82,0.0,32684.38,24513.31,32617.63,268548.31,24513.31,66.75,0.0,90089.25,180337.8,180337.8,209188.05,FUSTERIA FARNERS SL_resum
2011-01-01,12588.506666666666,21524.12,203389.5,10313.15,21933.94,138709.77000000002,0.0,80043.62000000001,1206.87,26545.19,27752.059,5750.0,64269.5,151719.05,177865.19,0.0,178.38000000000002,178.38000000000002,390448.62,6909.03,390452.17,0.0,1269.29,3195.63,208.22,1838.66,138709.77000000002,6.0,-46125.15,1148.75,117595.88,141405.9,225197.21,0.0,33341.96,12588.506666666666,54866.08,0.0,27636.1,20727.07,26545.19,251742.4,20727.07,1090.909,0.0,72595.88,206585.13,206585.13,206886.54,FUSTERIA FARNERS SL_resum
2012-01-01,13972.533333333333,14400.63,191699.47,10313.15,2439.759,135563.9,0.0,67869.23999999999,2378.56,-1229.64,1148.919,9000.0,62468.61,151780.25,181349.68,0.0,117.84,117.84,364342.11,20.4,364458.93000000005,0.0,1429.08,2798.38,218.04,1431.59,135563.9,6.0,-46396.43,1148.75,114830.23,141467.1,230124.669,0.0,28316.97,13972.533333333333,42717.6,0.0,81.6,61.199000000000005,-1229.64,228895.03,61.199000000000005,1311.24,0.0,114830.23,194497.85,194497.85,183927.68,FUSTERIA FARNERS SL_resum
2013-01-01,15356.56,12621.96,186378.15,10313.15,817.42,115913.08,0.0,73374.92,638.02,-1045.03,-407.01,24000.0,84752.959,151959.65,175371.07,0.0,188.03,188.03,335923.4,41.4,335923.4,0.0,1453.86,2793.86,0.0,1645.11,115913.08,6.0,-45046.26,1148.75,89003.23,141646.5,221055.35,0.0,24590.4,15356.56,37212.36,0.0,220.8,179.4,-1045.03,220010.32,179.4,1265.83,0.0,89003.23,189172.01,189172.01,176417.919,FUSTERIA FARNERS SL_resum
2014-01-01,16740.586666666666,18287.53,194461.29,10313.15,2677.8990000000003,120432.44,0.0,69634.23,1593.74,-37.45,1556.29,26600.0,77946.7,153043.81,169436.28,0.0,22.82,22.82,332597.16,350.36,332597.16,0.0,1494.79,2466.36,0.0,1317.61,120432.44,6.0,-41172.15,1148.75,98227.06,142730.66,212202.169,0.0,25596.31,16740.586666666666,43883.84,0.0,1434.52,1084.159,-37.45,212164.719,1084.159,1471.97,0.0,98227.06,196927.65,196927.65,172487.36,FUSTERIA FARNERS SL_resum
2015-01-01,18124.613333333335,14056.23,192921.57,10313.15,2485.3190000000004,146771.76,0.0,66084.17900000002,239.12,2405.98,2645.1,24100.0,76127.949,155290.01,170162.12,0.0,74.35,74.35,358171.27,748.73,358200.7,0.0,663.3,2727.24,0.0,1578.49,146771.76,5.0,-38621.72,1148.75,102737.39,144976.86,209022.96,0.0,26302.57,18124.613333333335,40358.8,0.0,2994.9300000000003,2246.2,2405.98,211428.94,2246.2,588.949,0.0,102737.39,195648.81,195648.81,173470.52,FUSTERIA FARNERS SL_resum
2016-01-01,19508.64,27837.56,205250.14,10313.15,9267.18,182245.04,5570.3,31717.19,3309.36,8657.03,11966.39,21250.0,25129.63,161247.83,162768.24000000002,0.0,898.7700000000001,898.7700000000001,404792.93000000005,1985.94,404841.01,0.0,185.5,32522.97,0.0,31374.22,182245.04,5.0,-47861.34,1148.75,152282.94999999998,150934.68,213938.939,0.0,23608.78,19508.64,57016.64,0.0,7943.76,5957.820000000001,8657.03,222595.97,5957.820000000001,-713.2700000000001,0.0,152282.94999999998,237773.11,237773.11,174920.129,FUSTERIA FARNERS SL_resum
2017-01-01,19508.64,32770.15,225020.07,10313.15,13836.93,140816.77000000002,0.0,35165.3,5122.87,12412.56,17535.43,25600.0,27995.15,169961.88999999998,164269.12,0.0,825.54,825.54,361247.9,2904.68,361382.22,0.0,31.72,27400.1,0.0,26251.35,140816.77000000002,5.0,-38760.9,1148.75,164254.77000000002,159648.74000000002,208152.889,0.0,30179.49,19508.64,62949.64,0.0,11618.740000000002,8714.06,12412.56,220565.45,8714.06,-793.819,0.0,164254.77000000002,252420.17,252420.17,181836.27,FUSTERIA FARNERS SL_resum
2018-01-01,7766.650000000001,17028.329999999998,199250.91,10313.16,12643.72,178341.24000000002,5973.57,49884.75,5384.51,10269.8,15654.31,16600.0,49456.42,177221.1,167047.43,0.0,590.8599999999999,590.8599999999999,400023.22,2419.73,400254.42,0.0,0.0,23959.4,0.0,22810.65,178341.24000000002,5.0,-39211.44,1148.75,132766.16,166907.94,211643.38,0.0,15220.66,7766.650000000001,38222.56,0.0,9678.94,7259.21,10269.8,221913.18,7259.21,-590.8599999999999,0.0,132766.16,223210.31,223210.31,182701.74,FUSTERIA FARNERS SL_resum
2019-01-01,11361.21,11356.02,200404.41,10313.16,10697.88,162849.1,8634.39,64232.63,6851.98,6129.45,12981.43,25100.0,77976.61,181066.99,167305.66,0.0,994.92,994.92,383407.43000000005,1288.63,383854.73,0.0,0.0,35316.15,0.0,34167.4,162849.1,5.0,-40718.54,1148.75,111071.78,170753.83,214876.18,0.0,23301.95,11361.21,43292.36,0.0,5134.53,3845.899,6129.45,221005.629,3845.899,-994.92,0.0,111071.78,235720.56,235720.56,180287.09,FUSTERIA FARNERS SL_resum
2020-01-01,40903.28,19055.54,243202.89,10313.16,8523.859999999999,136430.69,14005.83,60219.7,7749.33,2508.8700000000003,10258.2,30696.0,71860.16,181841.52,160006.12,0.0,1476.16,1476.16,347733.56,258.18,348957.92000000004,0.0,0.0,34621.5,0.0,33472.75,136430.69,4.0,-42262.91,1148.75,152287.19,171528.36,210018.36,0.0,22018.22,40903.28,55079.59,0.0,1032.71,774.53,2508.8700000000003,212527.229,774.53,-1476.16,0.0,152287.19,277824.39,277824.39,170264.319,FUSTERIA FARNERS SL_resum
2021-01-01,28140.24,12422.58,227350.61,10313.16,12566.45,211152.86,12763.04,32994.809,7355.469999999999,8167.469999999999,15522.94,28060.0,48632.22899999999,187052.5,146911.81,0.0,1219.49,1219.49,410774.16,1737.0,410869.37,0.0,0.0,28321.9,0.0,27173.15,211152.86,4.0,-37281.76,1148.75,166295.8,176739.34,191549.039,0.0,15294.15,28140.24,40479.77,0.0,6947.98,5210.98,8167.469999999999,199716.51,5210.98,-1219.49,0.0,166295.8,255672.51,255672.51,162434.75,FUSTERIA FARNERS SL_resum
2022-01-01,15023.47,25745.5,246385.5,10313.16,9910.96,147850.59,13116.77,43588.9,7030.24,4743.74,11773.98,32920.0,50763.399,189933.22,149712.19,0.0,902.78,902.78,346354.91000000003,960.24,347252.629,0.0,0.0,21291.66,0.0,20142.91,147850.59,4.0,-37915.87,1148.75,169876.6,179620.06,194658.3,0.0,23858.2,15023.47,62720.47,0.0,3840.96,2880.72,4743.74,199402.039,2880.72,-902.78,0.0,169876.6,267677.159,267677.159,161486.169,FUSTERIA FARNERS SL_resum
2023-01-01,3451.19,16215.42,231010.31,10313.16,9082.86,147347.22,11572.28,41394.6,6754.49,3552.48,10306.97,32920.0,58099.18,192261.59,156535.79,0.0,528.62,528.62,357394.31,695.49,358772.42000000004,0.0,0.0,15047.0,0.0,13898.25,147347.22,4.0,-44582.44,1148.75,156695.71000000002,181948.43,207872.72,0.0,22556.83,3451.19,50344.53,0.0,3023.86,2328.3700000000003,3552.48,211425.199,2328.3700000000003,-528.62,0.0,156695.71000000002,246057.31,246057.31,166842.759,FUSTERIA FARNERS SL_resum
