Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2010-01-01,541921.7799999999,45996.27,193711.37,27045.54,23770.34,203753.7,39299.69,32493.92,13692.286,26684.78,26684.78,159957.31,146454.96,80257.48,152127.41999999998,0.0,19404.5,16336.3,433304.05,1820.1,433304.05,0.0,0.11,578017.8,478.0,576436.6799999999,204853.7,7.0,-50738.149,1103.12,1260.14,53211.94,202865.57,0.0,64253.95,541921.7799999999,149549.91,0.0,7280.39,5460.29,26684.78,229550.349,5460.29,-19404.39,0.0,1260.14,771729.1699999999,771729.1699999999,175744.11000000002,CASALS FUSTERIA I DECORACIO SL_resum
2011-01-01,550492.55,42175.5,183818.44,27045.54,22411.04,180124.97999999998,67259.07,26608.960000000003,13838.842,29264.83,29264.83,154364.31,138797.77000000002,85584.23,132172.84,0.0,22260.99,22260.99,393209.94,1775.58,393209.94,0.0,98.49,613605.8500000001,478.0,612450.38,177024.97999999998,5.0,-51647.28999999999,677.47,2845.167,58538.69,183820.13,0.0,51912.94,550492.55,161347.51,0.0,7102.33,5326.75,29264.83,213084.96,5326.75,-22162.5,0.0,1042.617,797424.2899999999,797424.2899999999,161536.159,CASALS FUSTERIA I DECORACIO SL_resum
2012-01-01,579487.92,34534.15,206803.53,27045.54,21051.739999999998,124063.75,27991.28,46377.8,13985.398,29674.5,29674.5,159753.51,171597.16,88951.8,106759.73,0.0,25745.04,25745.04,307778.67,1122.52,307778.67,0.0,560.63,616729.05,678.0,615373.58,123351.75,6.0,-47280.69,677.47,672.22,61906.26,154040.419,0.0,92567.43,579487.92,155092.86,0.0,4490.09,3367.57,29674.5,183714.919,3367.57,-25184.41,0.0,310.74,823532.58,823532.58,136994.86,CASALS FUSTERIA I DECORACIO SL_resum
2013-01-01,555570.48,30930.480000000003,199843.04,27045.54,19692.44,151380.97999999998,28251.17,37519.75,14131.954,23646.24,23646.24,162143.51,168732.78,92565.5,95422.98,0.0,19418.38,19418.38,314896.12,1204.57,314896.12,0.0,590.41,618680.25,678.0,617324.7799999999,150870.97999999998,5.0,-44445.92,677.47,179.78,65519.96,139868.9,0.0,111205.66,555570.48,170387.31,0.0,4818.27,3613.7,23646.24,163515.139,3613.7,-18827.97,0.0,179.78,818523.2899999999,818523.2899999999,119659.63,CASALS FUSTERIA I DECORACIO SL_resum
2014-01-01,516592.62,29564.97,166962.18,27045.54,18333.14,163065.73,26671.86,19081.86,14278.51,21774.74,36053.25,147233.51,136750.4,96620.13,91803.12,0.0,16719.79,16719.79,335412.42000000004,1351.54,335412.42000000004,0.0,351.22,609688.2699999999,2277.49,606733.31,163065.73,5.0,-44490.32,677.47,646.81,69574.59,150571.94999999998,0.0,107200.87,516592.62,163437.7,0.0,5406.17,4054.63,21774.74,172346.68899999998,4054.63,-16368.57,0.0,646.81,776650.4500000001,776650.4500000001,128207.59,CASALS FUSTERIA I DECORACIO SL_resum
2015-01-01,624999.71,37954.87,167174.69,27045.54,19147.19,211032.99,12215.21,20922.5,13861.21,19201.21,33062.42,141608.51,124576.14,101906.11,108861.66,0.0,13201.23,13201.23,403716.32,1762.0,403716.32,0.0,1048.0,631765.11,2277.49,628810.15,211032.99,6.0,-50759.25,677.47,4643.68,74860.569,173482.12,0.0,21863.9,624999.71,72033.98,0.0,7047.98,5285.98,19201.21,192683.33,5285.98,-12153.23,0.0,4643.68,798939.8,798939.8,142972.08,CASALS FUSTERIA I DECORACIO SL_resum
2016-01-01,690030.2899999999,34561.14,128652.81,27045.54,37720.67,272907.94,18450.63,8442.88,31829.460000000003,16660.73,48490.19,119654.51,93536.25,107797.32,124484.41,0.0,8988.449999999999,8988.449999999999,498916.1,1963.74,498916.1,0.0,182.67,758754.61,1157.99,756919.15,272907.94,7.0,-53033.56,677.47,555.42,80751.78,209347.43,0.0,36568.04,690030.2899999999,89579.81,0.0,7854.95,5891.21,16660.73,226008.159,5891.21,-8805.78,0.0,555.42,887407.42,887407.42,173157.27000000002,CASALS FUSTERIA I DECORACIO SL_resum
2017-01-01,645725.09,44505.3,125685.18,27045.54,31370.69,260663.56,20113.03,24822.68,25637.3,15202.9,40840.2,99814.51,80131.89,113530.71,132185.709,0.0,7625.83,7625.83,492724.76,1911.13,492724.76,0.0,67.45,752735.14,38.49,752019.1799999999,260663.56,8.0,-59035.28999999999,677.47,1047.99,86485.17000000001,216858.299,0.0,54546.19,645725.09,119164.52,0.0,7644.52,5733.39,15202.9,232061.2,5733.39,-7558.38,0.0,1047.99,878420.3200000001,878420.3200000001,173093.35799999998,CASALS FUSTERIA I DECORACIO SL_resum
2018-01-01,563483.53,53585.78,126564.37,27045.54,60734.04,284304.75,25697.63,21739.65,55361.58,14078.1,69439.68000000001,102385.08,70538.95,118903.17,132370.799,0.0,7333.78,7333.78,541218.04,1599.71,541218.04,0.0,227.85,697684.2,260.64000000000004,696696.09,284304.75,4.0,-55102.810000000005,727.47,2439.64,91857.63,242835.189,0.0,62578.46,563483.53,141861.87,0.0,6972.17,5372.46,14078.1,256913.29,5372.46,-7105.929,0.0,2439.64,824248.57,824248.57,202038.329,CASALS FUSTERIA I DECORACIO SL_resum
2019-01-01,490068.41,52914.78,117263.15,27045.54,84106.77,315029.43000000005,32934.92,18748.91,77867.73999999999,14260.43,92128.17,96544.93,62379.06,125142.2,136709.83,0.0,6184.45,6184.45,609616.04,1919.7,609616.04,0.0,82.75,621607.31,2021.49,618828.3500000001,315029.43000000005,4.0,-65748.61,757.47,1969.31,98096.66,280326.18,0.0,37810.15,490068.41,123659.85,0.0,8158.73,6239.03,14260.43,294586.61,6239.03,-6101.7,0.0,1969.31,738870.4600000001,738870.4600000001,228920.75,CASALS FUSTERIA I DECORACIO SL_resum
2020-01-01,428842.07,35547.97,87695.23999999999,27045.54,80367.06,282024.94,33090.26899999999,17800.3,76625.03,9382.67,86007.7,69894.93999999999,52147.27,128884.23,119433.39,0.0,4601.26,4601.26,536223.61,1039.38,536440.809,0.0,0.0,545018.72,2021.49,542203.3200000001,282024.94,3.0,-48974.78,793.91,1908.49,101838.69,245033.199,0.0,6349.42,428842.07,74987.66,0.0,4781.41,3742.029,9382.67,254415.869,3742.029,-4601.26,0.0,1908.49,632713.9600000001,632713.9600000001,205441.09,CASALS FUSTERIA I DECORACIO SL_resum
2021-01-01,265405.03900000005,39261.83,264241.659,225740.14,82597.03,228936.87,134250.91999999998,150740.01,77452.55,17965.8,95418.35,111653.98,223132.159,332804.68,127381.8,0.0,11168.99,11168.99,516613.23,1714.83,516613.23,0.0,62.5,562654.62,2021.49,560633.13,228936.87,7.0,-64876.21,775.69,1847.67,107064.54,269710.56,0.0,55173.810000000005,265405.03900000005,228686.56,0.0,6859.31,5144.48,17965.8,287676.36,5144.48,-11106.49,0.0,1847.67,826896.2799999999,826896.2799999999,222862.65,CASALS FUSTERIA I DECORACIO SL_resum
2022-01-01,140623.47,51347.41,271493.18,225740.14,92642.26,346957.12,142407.67,170954.47999999998,79497.87000000001,19635.21,99133.079,100116.5,219723.569,345949.07,176777.75,0.0,2312.28,2312.28,672431.09,4178.54,683042.419,0.0,0.0,488568.09,2021.49,485789.13,346957.12,4.0,-60174.47,757.47,422.2,120208.93,316450.09,0.0,79733.65000000001,140623.47,273488.73000000004,0.0,17322.93,13144.39,19635.21,336085.29900000006,13144.39,-2312.28,0.0,422.2,760061.2699999999,760061.2699999999,275910.83,CASALS FUSTERIA I DECORACIO SL_resum
2023-01-01,176801.09,55717.28999999999,379776.65,225740.14,91024.92,362387.23,191949.6,265907.71,78983.85,19594.0,98577.85,112942.01,323132.43000000005,357990.14,189741.9,0.0,4309.610000000001,4309.610000000001,720675.02,3243.32,728337.9,0.0,0.0,494084.24,2021.49,491305.28,374892.63,4.0,-77630.92,757.47,926.93,132250.0,346356.67,0.0,91402.769,176801.09,339069.66,0.0,15284.39,12041.07,19594.0,365950.67,12041.07,-4309.610000000001,0.0,926.93,873860.89,873860.89,288319.75,CASALS FUSTERIA I DECORACIO SL_resum
