Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2009-01-01,90000.0,49906.78999999999,281166.92000000004,228600.0,-9.079,79935.58,0.0,16378.2,8350.53,-7461.04,889.49,252641.34,219112.749,504514.12,71047.11,0.0,31.1,31.1,128239.46,869.12,185337.98,0.0,1.65,383546.52,0.0,220284.12,79935.58,2.0,-33465.79899999999,163262.4,12147.38,275914.12,112863.439,0.0,20292.53,90000.0,70199.32,0.0,-7490.49,-8359.61,-7461.04,105402.4,-8359.61,-29.45,0.0,12147.38,664713.4400000001,664713.4400000001,71938.25,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2010-01-01,1562.62,28361.26,272324.77,269380.0,14525.63,48490.08,0.0,7238.68,8739.03,7525.68,16264.71,258954.34,237831.76,600300.72,74124.39,0.0,332.89,332.89,129509.82,1446.65,175220.66,0.0,40.46,376370.11,0.0,212553.09,48490.08,2.0,-36341.48,163817.02,6131.75,330920.72000000003,119204.9,0.0,18470.28,1562.62,46831.54,0.0,7233.25,5786.6,7525.68,126730.58,5786.6,-292.42999999999995,0.0,6131.75,648694.88,648694.88,90429.56,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2011-01-01,1562.62,22408.35,270216.2,269380.0,-20625.35,57923.55,0.0,13859.740000000002,8739.03,-29334.36,-20595.33,254171.65,245623.04,570936.3400000001,74443.04,0.0,30.08,30.08,111601.16,0.0,146449.22,0.0,0.06,367631.08,0.0,204822.06,57923.55,2.0,-34677.96,162809.02,2184.8100000000004,301556.34,117860.03,0.0,42939.97,1562.62,65348.32,0.0,-29364.38,-29364.38,-29334.36,88525.67000000001,-29364.38,-30.02,0.0,2184.8100000000004,637847.2799999999,637847.2799999999,53847.76899999999,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2012-01-01,1562.62,24729.59,284935.07,269380.0,-10539.85,22012.49,0.0,11410.5,8739.03,-19261.71,-10522.679,271408.32,258089.23,551657.4600000001,69358.5,0.0,80.45,80.45,85950.3,0.0,108757.02,0.0,63.28,358892.05,0.0,197091.03,22012.49,2.0,-27908.71,161801.02,2116.25,282277.46,106006.239,0.0,65877.45,1562.62,90607.04,0.0,-19278.88,-19278.88,-19261.71,86744.53,-19278.88,-17.17,0.0,2116.25,643827.12,643827.12,58899.099,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2013-01-01,1562.62,26852.26,288763.75,269380.0,-18451.37,17751.629999999997,0.0,4263.48,5413.620000000001,-23864.99,-18451.37,282762.32,260173.539,527792.47,68752.55,0.0,0.0,0.0,74168.4,0.0,94470.64,0.0,0.0,353478.43000000005,0.0,192685.41,17751.629999999997,2.0,-26417.83,160793.02,1737.95,258412.47,100584.0,0.0,86034.83,1562.62,112887.09,0.0,-23864.99,-23864.99,-23864.99,76719.01,-23864.99,0.0,0.0,1737.95,642242.1799999999,642242.1799999999,50301.18,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2014-01-01,1562.62,38329.32,306575.03,269380.0,-25041.84,18253.53,0.0,3087.0,1008.0,-26049.84,-25041.84,300919.32,265677.0,501742.63,68726.22,0.0,0.0,0.0,74373.73,0.0,89073.73,0.0,0.0,352470.43000000005,0.0,192685.41,18253.53,2.0,-27135.82,159785.02,2568.71,232362.63,96870.04,0.0,117410.89,1562.62,155740.21000000002,0.0,-26049.84,-26049.84,-26049.84,70820.2,-26049.84,0.0,0.0,2568.71,659045.4600000001,659045.4600000001,43684.380000000005,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2015-01-01,1800.0,44699.4,319477.14,269380.0,-27090.23,22666.95,0.0,2889.5,1008.0,-28098.23,-27090.23,313272.32,271462.42000000004,473644.4,69447.98999999999,0.0,0.0,0.0,76477.17000000001,0.0,91077.17,0.0,0.0,349899.81,0.0,192685.41,22666.95,2.0,-26052.460000000003,157214.4,3315.32,204264.4,96508.45,0.0,149233.15,1800.0,193932.55,0.0,-28098.23,-28098.23,-28098.23,68410.22,-28098.23,0.0,0.0,3315.32,669376.9500000001,669376.9500000001,42357.76,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2016-01-01,6800.0,46297.87,338587.44,269380.0,-33231.87,9147.06,0.0,4590.0,1008.0,-34239.87,-33231.87,331030.0,289322.13,439404.53,69520.64,0.0,0.0,0.0,63029.98,0.0,71929.98,0.0,0.0,348891.81,0.0,192685.41,9147.06,2.0,-26494.15,156206.4,2967.44,170024.53,97022.79,0.0,194976.85,6800.0,241274.72,0.0,-34239.87,-34239.87,-34239.87,62782.92,-34239.87,0.0,0.0,2967.44,687479.25,687479.25,36288.77,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2017-01-01,9200.0,47954.810000000005,342202.21,269380.0,-33538.96,28949.33,0.0,8034.06,1008.0,-34546.96,-33538.96,329573.0,289652.25,404857.57,71983.95999999999,0.0,0.0,0.0,60379.73,0.0,93732.929,0.0,0.0,347883.81,0.0,192685.41,28949.33,2.0,-26338.6,155198.4,4595.150000000001,135477.57,99330.56,0.0,228073.64,9200.0,276028.45,0.0,-34546.96,-34546.96,-34546.96,64783.599,-34546.96,0.0,0.0,4595.150000000001,690086.02,690086.02,38445.0,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2018-01-01,9200.0,49349.27,315234.14,269380.0,-33397.66,59802.41,0.0,14866.56,1008.0,-34405.66,-33397.66,297533.0,263050.28900000005,370451.91,53439.19,0.0,0.0,0.0,56282.49,0.0,106650.9,0.0,0.0,346875.81,0.0,192685.41,59802.41,2.0,-26806.960000000003,154190.4,2834.58,101071.91,81254.15000000001,0.0,233108.77,9200.0,282458.04,0.0,-34405.66,-34405.66,-34405.66,46848.489,-34405.66,0.0,0.0,2834.58,662109.9500000001,662109.9500000001,20041.53,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2019-01-01,9200.0,47121.59,293836.11,269380.0,5992.634999999995,44770.14,0.0,15066.6,1008.0,-36166.22,-36166.22,274723.65,242668.66,334285.69,53812.76,0.0,0.0,0.0,55790.95,0.0,88315.549,0.0,0.0,346875.81,0.0,192685.41,44770.14,4.0,-25898.87,154190.4,4045.86,64905.69,79711.63,0.0,250104.64,9200.0,297226.23000000004,0.0,-36166.22,-36166.22,-36166.22,43545.409,-36166.22,0.0,0.0,4045.86,640711.92,640711.92,17646.54,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2020-01-01,9200.0,48495.78999999999,260917.8,269380.0,45382.93,53863.0,0.0,11867.85,1008.0,44374.93,45382.93,238715.4,202087.46,378660.62,28577.56,0.0,0.0,0.0,30007.480000000003,0.0,63786.64,0.0,0.0,326034.41000000003,0.0,172852.01,53863.0,1.0,64036.850000000006,153182.4,10334.55,109280.62,-34451.28999999999,0.0,150595.8,9200.0,199091.59,0.0,44374.93,44374.93,44374.93,9923.64,44374.93,0.0,0.0,10334.55,586952.21,586952.21,73960.48999999999,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2021-01-01,13600.0,46610.3,222059.5,269380.0,-29711.56,45322.51,0.0,7481.04,1008.0,-30719.56,-29711.56,208709.92,169580.66,347941.04,38796.93,0.0,0.0,0.0,46455.62,0.0,81659.09,0.0,0.0,329426.41000000003,0.0,172852.01,45322.51,2.0,-27251.21,156574.4,5868.54,78561.039,67056.14,0.0,143334.57,13600.0,189944.87,0.0,-30719.56,-30719.56,-30719.56,36336.579,-30719.56,0.0,0.0,5868.54,551485.91,551485.91,9085.369,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2022-01-01,13600.0,47241.18,215449.39,269380.0,-3008.82,36512.65,0.0,11219.11,1008.0,-4016.82,-3008.82,195430.79,159408.72,343924.23000000004,51083.52,0.0,0.0,0.0,59985.21,0.0,114862.51,0.0,0.0,328418.41000000003,0.0,172852.01,36512.65,1.0,-30275.16,155566.4,8799.49,74544.229,82366.68000000001,0.0,139102.38999999998,13600.0,186343.57,0.0,-4016.82,-4016.82,-4016.82,78349.86,-4016.82,0.0,0.0,8799.49,543867.8,543867.8,48074.7,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
2023-01-01,13600.0,51400.09,216996.94,269380.0,-5463.63,46662.54,0.0,27283.47,1008.0,-6471.63,-5463.63,179930.79,155814.17,337452.6,55153.86,0.0,0.0,0.0,64813.28999999999,0.0,125204.57,0.0,0.0,327410.41000000003,0.0,172852.01,46662.54,1.0,-28851.8,154558.4,9782.68,68072.599,85013.66,0.0,141954.66,13600.0,193354.75,0.0,-6471.63,-6471.63,-6471.63,78542.03,-6471.63,0.0,0.0,9782.68,544407.3500000001,544407.3500000001,49690.23,CONFECCIONS ARGENCE SOCIEDAD LIMITADA_resum
