Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2010,17043.809999999998,231062.8,456149.68,32454.65,87967.209,2187025.27,n.d.,236619.98,30587.17,76896.17000000001,107483.34,165002.01,170559.19,635805.4500000001,84374.65000000001,n.d.,698.11,698.11,2559778.92,19126.69,2604186.41,n.d.,308.67,815588.81,n.d.,613666.89,2189309.03,4,-225303.15,201921.919,54527.689999999995,603350.8,340264.97000000003,31701.52,356124.91000000003,48745.33,587187.71,22070.52,76506.73,57380.039,76896.17000000001,417161.13999999996,57380.039,-389.44,n.d.,46764.98,1271738.49,1271738.49,192166.659,FACA SL_resum
2009,40038.850000000006,262732.13,347187.36,32454.65,6949.139,2018710.45,n.d.,176086.13,35101.13,-36551.47,-1450.34,171101.23,84455.229,578425.41,82918.97,n.d.,1946.49,1946.49,2347587.15,-9384.0,2359050.469,n.d.,961.97,855378.59,n.d.,644254.06,2023214.51,4,-258871.38999999998,211124.53,n.d.,545970.76,376891.49000000005,29131.21,292238.35,69170.06,554970.48,22070.52,-37535.99,-28151.989,-36551.47,340340.01900000003,-28151.989,-984.52,n.d.,n.d.,1202565.95,1202565.95,82430.6,FACA SL_resum
2008,61551.07,272564.03,374381.78,32454.65,46451.96,2234941.659,n.d.,192223.39,27120.54,26146.77,53267.310000000005,176211.43,95870.789,606577.4,12012.859999999999,n.d.,3506.3700000000003,3506.3700000000003,2536190.25,6443.81,2560215.34,n.d.,3134.8300000000004,781411.19,n.d.,580659.22,2254180.82,1,-259993.51,200751.97,5946.96,574122.75,299126.91000000003,26682.65,188417.82,88233.72,460981.85,22070.52,25775.23,19331.42,26146.77,325273.68,19331.42,-371.539,n.d.,5946.96,1155792.97,1155792.97,68415.0,FACA SL_resum
2007,62736.61,n.d.,554175.39,32454.65,56350.28,n.d.,n.d.,351779.92000000004,29490.480000000003,36731.63,66222.11,156972.27000000002,508752.189,577625.13,n.d.,n.d.,3259.53,3259.53,2378829.83,8953.27,2429833.89,n.d.,2340.9700000000003,610770.52,65336.68,346894.44,2073776.64,n.d.,n.d.,198539.399,45423.2,545170.48,n.d.,31691.37,492892.8,94427.98,492892.8,31691.37,35813.07,26859.8,36731.63,n.d.,26859.8,-918.56,n.d.,45423.2,1164945.91,1164945.91,68563.08,FACA SL_resum
2006,9419.43,n.d.,519572.92,32454.65,45893.71,n.d.,n.d.,286183.26,17494.53,39779.46,57273.99,158053.16,444236.42,550765.3300000001,n.d.,n.d.,711.8199999999999,711.8199999999999,2416103.87,12471.59,2472739.34,n.d.,1803.13,536875.8,17315.17,350994.43000000005,2113831.47,n.d.,n.d.,168566.2,75336.5,518310.679,n.d.,31691.37,464572.589,41110.8,464572.589,31691.37,40870.77,28399.179,39779.46,n.d.,28399.18,1091.31,n.d.,75336.5,1056448.72,1056448.72,59077.12,FACA SL_resum
2005,14786.76,n.d.,538628.49,32454.65,63213.850000000006,n.d.,n.d.,271056.19,16076.43,66251.17900000002,82327.60900000001,132319.01,403375.2,522366.15,n.d.,n.d.,933.11,933.11,2324619.09,20201.75,2354570.38,n.d.,2021.1,431102.95,22819.329999999998,243152.33,2022432.69,n.d.,n.d.,165131.29,135253.289,489911.5,n.d.,31691.37,400887.16,46478.13,400887.16,31691.37,67339.17000000001,47137.42,66251.17900000002,n.d.,47137.42,1087.99,n.d.,135136.62,969731.44,969731.44,84348.70999999999,FACA SL_resum
2004,24915.84,n.d.,521205.58,32454.65,70075.37000000001,n.d.,n.d.,220427.13,13706.09,77173.47,90879.56,155164.25,375591.38,475228.73,n.d.,n.d.,1247.83,1247.83,2156505.51,22439.75,2192093.519,n.d.,2883.3900000000003,382889.58,28323.49,189314.6,1869140.21,n.d.,n.d.,165251.49,145614.2,442774.079,n.d.,31691.37,372259.22,56607.21,372259.22,31691.37,78809.03,56369.28,77173.47,n.d.,56369.28,1635.56,n.d.,145190.91999999998,904095.16,904095.16,93762.95,FACA SL_resum
2003,36280.83,n.d.,577520.2989999999,32454.65,155038.22,n.d.,n.d.,161840.51,19562.97,127233.61,146796.58,130666.15,292506.66,418859.45,n.d.,n.d.,2620.2,2620.2,2587471.69,42619.54,2696792.36,52199.83,1281.55,388048.82,33827.65,188969.68,2388357.53,n.d.,n.d.,165251.49,285013.639,386404.8,n.d.,31691.37,478737.47,67972.2,478737.47,31691.37,125894.96,83275.42,127233.61,n.d.,135475.25,-1338.65,52199.83,284130.16,965569.12,965569.12,200277.96,FACA SL_resum
2002,60569.02,n.d.,289506.83,32454.65,51423.149,n.d.,n.d.,195053.58,18569.59,50883.62,69453.20999999999,36238.96,231292.539,283384.2,n.d.,1477.1499999999999,3472.4100000000003,3472.4100000000003,2661682.01,14080.1,2732820.69,n.d.,999.6,424528.35,40707.850000000006,218569.01,2503519.8,n.d.,n.d.,165251.49,58214.28999999999,250929.55,n.d.,31691.37,338390.59,92260.39,338390.59,31691.37,48410.810000000005,34330.71,50883.62,n.d.,32853.559,-2472.8100000000004,-1477.1499999999999,56071.59,714035.1799999999,714035.1799999999,68975.65900000001,FACA SL_resum
2001,68037.68000000001,n.d.,376452.96,32454.65,30701.75,n.d.,n.d.,259709.17,18369.17,24675.54,43044.71,34834.33,294543.5,250530.64,19425.74,45.02,8343.67,8343.67,2916413.73,4221.21,2973839.21,n.d.,266.94,397229.94,n.d.,231978.45,2758998.4,1,n.d.,165251.49,81909.459,218075.99,n.d.,31691.36,423423.22,99729.04,423423.22,31691.36,16598.809999999998,12377.6,24675.54,n.d.,12332.58,-8076.73,-45.02,81909.45999999999,773682.9,773682.9,62692.369,FACA SL_resum
2000,90558.39,n.d.,386748.37,32454.65,26515.35,n.d.,n.d.,301761.28,20991.97,9487.89,30479.86,50662.54,352423.82,238198.06,48839.229999999996,168.86,2886.64,2886.64,2927373.41,1890.56,2973809.1,39.65,941.89,413495.56,n.d.,247973.62,2755718.5,4,n.d.,165521.94,34324.549,205743.41,n.d.,31691.36,439796.12,122249.75,439796.12,31691.36,7543.150000000001,5652.59,9487.89,n.d.,5523.38,-1944.74,-129.20999999999998,34324.55,800243.93,800243.93,80131.78,FACA SL_resum
1999,113081.38,n.d.,354695.3,32454.65,42090.19,n.d.,n.d.,231916.81,21720.07,28402.17,50122.24,63215.52,295132.33,232674.68,47504.82,n.d.,2488.86,2488.86,2415812.83,6972.320000000001,2462320.98,90.38,1338.74,434487.53,n.d.,268965.59,2240364.87,3,n.d.,165521.94,59562.969,200220.03,n.d.,31691.36,411735.4,144772.74000000002,411735.4,31691.36,27252.05,20279.73,28402.17,n.d.,20370.12,-1150.12,90.38,59562.96,789182.8300000001,789182.8300000001,99056.189,FACA SL_resum
